,债券代码,债券名称,涨跌幅,最新价,最高,最低,今开,涨跌额,换手率,量比,动态市盈率,成交量,成交额,昨日收盘,总市值,流通市值,行情ID,市场类型,更新时间,最新交易日
82,128128,齐翔转2,0.43,134.274,134.507,133.026,133.599,0.574,1.93,0.82,-,13146,17605672.595,133.7,912399349,912399349,0.128128,深A,2023-07-21 15:34:18,2023-07-21
83,113625,江山转债,0.43,118.601,118.903,117.989,118.09,0.502,1.62,0.58,-,9466,11217446.0,118.099,690904195,690904195,1.113625,沪A,2023-07-21 16:11:58,2023-07-21
84,123103,震安转债,0.42,116.642,116.933,116.306,116.603,0.484,0.53,0.4,-,1326,1546162.431,116.158,290914713,290914713,0.123103,深A,2023-07-21 15:34:24,2023-07-21
85,110093,神马转债,0.41,115.718,117.0,115.07,115.07,0.468,0.83,3.46,-,24980,28911088.0,115.25,3471540000,3471540000,1.110093,沪A,2023-07-21 16:11:10,2023-07-21
86,110044,广电转债,0.4,202.191,203.3,200.83,201.48,0.806,23.8,1.71,-,16822,34007229.0,201.385,142920730,142920730,1.110044,沪A,2023-07-21 16:11:04,2023-07-21
87,123182,广联转债,0.4,124.495,124.649,123.646,124.1,0.495,0.47,0.44,-,3317,4120605.295,124.0,871465000,871465000,0.123182,深A,2023-07-21 15:35:00,2023-07-21
88,123151,康医转债,0.4,114.296,114.4,113.659,113.899,0.454,1.37,1.59,-,9580,10931511.857,113.842,799881240,799881240,0.123151,深A,2023-07-21 15:34:42,2023-07-21
89,123061,航新转债,0.39,127.497,127.497,126.73,127.0,0.497,2.78,0.67,-,6942,8826462.028,127.0,318209690,318209690,0.123061,深A,2023-07-21 15:34:54,2023-07-21
90,113025,明泰转债,0.39,186.696,187.56,184.72,186.65,0.724,5.5,0.41,-,54092,100816413.0,185.972,1837439628,1837439628,1.113025,沪A,2023-07-21 16:11:49,2023-07-21
91,123163,金沃转债,0.38,123.276,124.077,122.7,122.7,0.47,7.44,1.19,-,23071,28500303.052,122.806,382145738,382145738,0.123163,深A,2023-07-21 15:34:51,2023-07-21
92,111002,特纸转债,0.38,128.063,128.652,127.23,127.329,0.479,5.74,1.21,-,37991,48601946.0,127.584,847706625,847706625,1.111002,沪A,2023-07-21 16:11:25,2023-07-21
93,113044,大秦转债,0.37,117.399,117.5,116.83,116.85,0.434,0.39,0.67,-,116810,136856722.0,116.965,35205942716,35205942716,1.113044,沪A,2023-07-21 16:11:49,2023-07-21
94,113593,沪工转债,0.37,114.551,114.883,114.023,114.2,0.419,9.55,0.33,-,38175,43701925.0,114.132,457848663,457848663,1.113593,沪A,2023-07-21 16:11:34,2023-07-21
95,123065,宝莱转债,0.36,117.247,117.408,116.87,116.87,0.423,0.84,1.02,-,1835,2149737.54,116.824,256561879,256561879,0.123065,深A,2023-07-21 15:34:06,2023-07-21
96,113618,美诺转债,0.36,112.812,113.633,112.301,112.304,0.405,3.03,1.67,-,14432,16315013.0,112.407,537848132,537848132,1.113618,沪A,2023-07-21 16:11:58,2023-07-21
97,123177,测绘转债,0.36,154.1,157.303,153.032,153.822,0.55,59.54,1.02,-,242133,375094414.631,153.55,626697116,626697116,0.123177,深A,2023-07-21 15:35:03,2023-07-21
98,128119,龙大转债,0.36,111.899,112.151,111.5,111.618,0.399,1.03,0.59,-,9718,10874152.95,111.5,1058629106,1058629106,0.128119,深A,2023-07-21 15:34:21,2023-07-21
99,123145,药石转债,0.35,114.99,115.5,114.428,114.6,0.401,0.55,1.12,-,6322,7263518.22,114.589,1321702304,1321702304,0.123145,深A,2023-07-21 15:34:33,2023-07-21
